Names,Locations,Prices/Mon
3 otaqlı130 m²12/17 mərtəbə,Şah İsmayıl Xətai m.,1 500AZN/ay
3 otaqlı155 m²20/27 mərtəbə,Nəsimi r.,1 100AZN/ay
3 otaqlı140 m²13/17 mərtəbə,Şah İsmayıl Xətai m.,1 700AZN/ay
5 otaqlı300 m²,İçəri Şəhər m.,4 000AZN/ay
3 otaqlı148 m²7/27 mərtəbə,Nəsimi r.,1 200AZN/ay
4 otaqlı190 m²5/7 mərtəbə,Xətai r.,2 300AZN/ay
2 otaqlı80 m²3/5 mərtəbə,Sahil m.,40AZN/gün
3 otaqlı140 m²23/27 mərtəbə,Nəsimi r.,1 200AZN/ay
3 otaqlı115 m²15/27 mərtəbə,Nəsimi r.,1 100AZN/ay
2 otaqlı55 m²4/5 mərtəbə,Bakıxanov q.,300AZN/ay
2 otaqlı70 m²10/16 mərtəbə,8 Noyabr m.,750AZN/ay
2 otaqlı70 m²3/5 mərtəbə,Sahil m.,40AZN/gün
3 otaqlı120 m²3/5 mərtəbə,Sahil m.,50AZN/gün
700 m²,Xırdalan,6 000AZN/ay
2500 m²,Şirvan,2 500AZN/ay
2 otaqlı35 m²4/5 mərtəbə,Gənclik m.,400AZN/ay
2 otaqlı85 m²15/18 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı90 m²10/18 mərtəbə,Yasamal r.,700AZN/ay
3 otaqlı92 m²8/20 mərtəbə,20 Yanvar m.,650AZN/ay
2 otaqlı65 m²4/16 mərtəbə,Elmlər Akademiyası m.,850AZN/ay
3 otaqlı75 m²5/14 mərtəbə,Memar Əcəmi m.,400AZN/ay
3 otaqlı80 m²5/5 mərtəbə,Yasamal r.,500AZN/ay
200 m²,Nərimanov r.,1 100AZN/ay
2 otaqlı50 m²3/4 mərtəbə,Nəsimi r.,400AZN/ay
176.4 m²,Nizami m.,1 600AZN/ay
4 otaqlı140 m²12/16 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
1 otaqlı40 m²2/5 mərtəbə,Yasamal q.,400AZN/ay
