,Locations,Prices,Floor,Area,Rooms
224,Azadlıq Prospekti m.,24000,,78 ,
225,Həzi Aslanov m.,6000,,30 ,1 
226,Nəsimi r.,105000,,220 ,
227,Bakıxanov q.,9000,,400 ,
228,Yasamal r.,36000,27/27 ,150 ,3 
229,İçəri Şəhər m.,30000,4/4 ,78 ,2 
230,Yasamal r.,13500,7/9 ,102 ,4 
231,Yasamal r.,150000,,360 ,6 
232,28 May m.,33000,9/10 ,100 ,3 
233,Nərimanov r.,6300,1/1 ,18 ,1 
234,Xırdalan,7500,1/3 ,55 ,2 
235,Nəsimi r.,75000,,220 ,7 
236,Sahil m.,90000,,140 ,5 
237,Yeni Suraxanı q.,10500,,110 ,3 
238,Yasamal q.,39000,27/27 ,148 ,3 
239,Suraxanı r.,48180,1/6 ,146 ,3 
240,Şah İsmayıl Xətai m.,27000,9/16 ,130 ,3 
241,Suraxanı r.,71610,1/6 ,217 ,3 
242,Suraxanı r.,40260,5/6 ,122 ,3 
243,Suraxanı r.,59700,4/6 ,199 ,4 
244,Suraxanı r.,43890,5/6 ,133 ,3 
245,Elmlər Akademiyası m.,13500,,35 ,1 
246,Suraxanı r.,111540,,286 ,4 
247,Nəriman Nərimanov m.,15000,3/5 ,50 ,3 
248,Nəsimi r.,24000,8/24 ,100 ,2 
249,Nəriman Nərimanov m.,17100,5/16 ,60 ,2 
250,Neftçilər m.,15000,3/12 ,65 ,2 
251,Şah İsmayıl Xətai m.,25500,16/16 ,95 ,2 
252,Nəsimi m.,75000,,610 ,2 
253,8 Noyabr m.,24000,6/18 ,90 ,3 
254,Nəsimi r.,13500,3/4 ,50 ,2 
255,Bakıxanov q.,12000,8/16 ,40 ,2 
256,Qara Qarayev m.,90000,,80 ,
257,20 Yanvar m.,36000,2/16 ,210 ,4 
258,Nərimanov r.,48000,,115 ,
259,8-ci mikrorayon q.,12000,8/9 ,36 ,1 
260,Neftçilər m.,15000,5/5 ,50 ,2 
261,Nərimanov r.,18450,8/19 ,75 ,2 
262,İsmayıllı,60,,220 ,4 
263,Gənclik m.,52800,,150 ,4 
264,İçəri Şəhər m.,25500,2/3 ,110 ,3 
265,Nəriman Nərimanov m.,17100,5/19 ,65 ,2 
266,Nəsimi r.,39000,9/27 ,145 ,3 
267,Səbail r.,135000,,360 ,
268,Nəsimi r.,13500,3/4 ,50 ,2 
269,Memar Əcəmi m.,12000,5/5 ,50 ,2 
270,Elmlər Akademiyası m.,24000,8/16 ,130 ,3 
271,Nəriman Nərimanov m.,22500,5/17 ,76 ,2 
272,İçəri Şəhər m.,36000,3/15 ,165 ,3 
273,Şah İsmayıl Xətai m.,45000,12/18 ,135 ,3 
274,Bakıxanov q.,24000,,200 ,
275,Elmlər Akademiyası m.,21000,4/16 ,85 ,3 
276,Nəsimi r.,24000,10/27 ,65 ,2 
277,Nəsimi r.,30000,10/27 ,100 ,2 
278,Şah İsmayıl Xətai m.,45000,8/18 ,125 ,3 
279,Nəsimi r.,39000,5/16 ,107 ,3 
280,Nəriman Nərimanov m.,12000,5/18 ,72 ,2 
281,Nərimanov r.,45000,11/16 ,92 ,2 
282,8 Noyabr m.,25500,11/18 ,146 ,3 
283,Nərimanov r.,21000,7/19 ,135 ,3 
284,Elmlər Akademiyası m.,18000,4/9 ,60 ,2 
285,Şah İsmayıl Xətai m.,45000,12/17 ,130 ,3 
286,Nəsimi r.,33000,20/27 ,155 ,3 
287,Şah İsmayıl Xətai m.,51000,13/17 ,140 ,3 
288,İçəri Şəhər m.,120000,,300 ,5 
289,Nəsimi r.,36000,7/27 ,148 ,3 
290,Xətai r.,69000,5/7 ,190 ,4 
291,Sahil m.,40,3/5 ,80 ,2 
292,Nəsimi r.,36000,23/27 ,140 ,3 
293,Nəsimi r.,33000,15/27 ,115 ,3 
294,Bakıxanov q.,9000,4/5 ,55 ,2 
295,8 Noyabr m.,22500,10/16 ,70 ,2 
296,Sahil m.,40,3/5 ,70 ,2 
297,Sahil m.,50,3/5 ,120 ,3 
298,Xırdalan,180000,,700 ,
299,Şirvan,75000,,2500 ,
300,Gənclik m.,12000,4/5 ,35 ,2 
301,Nəriman Nərimanov m.,24000,15/18 ,85 ,2 
302,Yasamal r.,21000,10/18 ,90 ,3 
303,20 Yanvar m.,19500,8/20 ,92 ,3 
304,Elmlər Akademiyası m.,25500,4/16 ,65 ,2 
305,Memar Əcəmi m.,12000,5/14 ,75 ,3 
306,Yasamal r.,15000,5/5 ,80 ,3 
307,Nərimanov r.,33000,,200 ,
308,Nəsimi r.,12000,3/4 ,50 ,2 
309,Nizami m.,48000,,176.4 ,
310,Nəriman Nərimanov m.,36000,12/16 ,140 ,4 
311,Yasamal q.,12000,2/5 ,40 ,1 
312,Nəriman Nərimanov m.,12000,4/10 ,80 ,2 
313,Yasamal r.,12000,2/5 ,33 ,1 
314,Şah İsmayıl Xətai m.,27000,18/20 ,96 ,3 
315,Şah İsmayıl Xətai m.,33000,5/16 ,160 ,3 
316,Badamdar q.,34800,7/16 ,153 ,3 
317,8 Noyabr m.,24000,10/16 ,70 ,2 
318,Novxanı q.,30000,,360 ,1 
319,İnşaatçılar m.,13500,8/12 ,70 ,3 
320,Şah İsmayıl Xətai m.,36000,15/21 ,80 ,2 
321,28 May m.,34500,9/21 ,140 ,4 
322,Şah İsmayıl Xətai m.,30000,10/21 ,80 ,2 
323,Nəriman Nərimanov m.,24000,18/21 ,86 ,2 
324,Nəsimi r.,30000,7/18 ,100 ,2 
325,İçəri Şəhər m.,24000,3/14 ,120 ,3 
326,Həzi Aslanov q.,15000,15/20 ,92 ,2 
327,Sahil m.,30000,4/4 ,78 ,2 
328,Həzi Aslanov m.,11400,1/9 ,100 ,3 
329,Nərimanov r.,27000,7/18 ,210 ,4 
330,Memar Əcəmi m.,11100,2/5 ,45 ,2 
331,Şah İsmayıl Xətai m.,25500,9/18 ,150 ,3 
332,Memar Əcəmi m.,9600,5/5 ,30 ,1 
333,Binəqədi q.,3900,,20 ,1 
334,Şah İsmayıl Xətai m.,48000,12/32 ,182 ,3 
335,Gənclik m.,135000,,160 ,
336,Nərimanov r.,25500,16/17 ,130 ,3 
337,Xırdalan,9000,,40 ,2 
338,İçəri Şəhər m.,30000,3/6 ,100 ,3 
339,Elmlər Akademiyası m.,27000,9/10 ,200 ,5 
340,Şah İsmayıl Xətai m.,75000,15/28 ,250 ,4 
341,Elmlər Akademiyası m.,90000,16/16 ,500 ,5 
342,Elmlər Akademiyası m.,15000,5/5 ,80 ,3 
343,Həzi Aslanov m.,30000,15/17 ,160 ,4 
344,Nəsimi r.,18000,5/5 ,60 ,3 
345,M.Ə.Rəsulzadə q.,7500,,50 ,2 
346,Qara Qarayev m.,18000,6/16 ,120 ,2 
347,İnşaatçılar m.,18000,14/16 ,80 ,3 
348,Xırdalan,6000,,20 ,
349,7-ci mikrorayon q.,18000,13/16 ,95 ,2 
350,Nizami m.,37500,,115 ,2 
351,Nəriman Nərimanov m.,22500,18/21 ,90 ,2 
352,Nəsimi r.,36000,17/27 ,103 ,2 
353,Şah İsmayıl Xətai m.,39000,7/18 ,170 ,3 
354,İçəri Şəhər m.,90000,,320 ,1 
355,Şah İsmayıl Xətai m.,30000,,140 ,3 
356,Bayıl q.,45000,,700 ,
357,İçəri Şəhər m.,25500,2/3 ,110 ,3 
358,Nizami m.,40500,,150 ,7 
359,Nəriman Nərimanov m.,19500,8/18 ,92 ,2 
360,Həzi Aslanov q.,60000,,337 ,
361,Elmlər Akademiyası m.,180000,,120 ,
362,Elmlər Akademiyası m.,240000,,500 ,
363,28 May m.,15000,3/3 ,55 ,2 
364,Yasamal r.,21000,4/16 ,80 ,2 
365,Nəsimi r.,15000,3/3 ,55 ,2 
366,Nəriman Nərimanov m.,21000,12/19 ,140 ,3 
367,Binəqədi r.,12600,4/16 ,45 ,1 
368,28 May m.,90000,,150 ,5 
369,Nəsimi r.,40,5/19 ,95 ,2 
370,Novxanı q.,135000,,800 ,
371,Nəsimi r.,19500,7/16 ,145 ,3 
372,Yeni Yasamal q.,9900,7/9 ,45 ,1 
373,Gənclik m.,60000,,50 ,
374,28 May m.,60000,,70 ,
375,Qusar,70,,150 ,3 
376,Binəqədi r.,15000,13/16 ,60 ,2 
377,Azadlıq Prospekti m.,12000,7/17 ,68 ,2 
378,Sahil m.,48000,,210 ,5 
379,Nizami m.,2400,3/3 ,33 ,1 
380,Sahil m.,75000,1/3 ,70 ,2 
381,28 May m.,45000,14/21 ,220 ,4 
382,Şah İsmayıl Xətai m.,29970,10/18 ,70 ,2 
383,28 May m.,30000,12/22 ,176 ,3 
384,28 May m.,45000,11/16 ,150 ,3 
385,Memar Əcəmi m.,12900,17/18 ,92 ,2 
386,Səbail r.,27000,4/5 ,120 ,4 
387,Nəsimi r.,255000,,164 ,
388,Sabunçu r.,255000,,830 ,
389,Yasamal q.,36000,7/20 ,100 ,3 
390,Mərdəkan q.,16500,3/5 ,55 ,3 
391,Nəsimi r.,105000,,145 ,
392,Sahil m.,150000,2/3 ,280 ,5 
393,Elmlər Akademiyası m.,27000,4/16 ,175 ,3 
394,Elmlər Akademiyası m.,25500,4/16 ,65 ,2 
395,Sahil m.,46500,2/4 ,120 ,4 
396,İçəri Şəhər m.,99000,,380 ,
397,Nəsimi r.,10500,2/5 ,50 ,2 
398,Nizami m.,15000,3/4 ,50 ,2 
399,Nizami m.,30000,7/10 ,172 ,3 
400,Şah İsmayıl Xətai m.,25500,6/17 ,98 ,2 
401,Nərimanov r.,18000,5/5 ,78 ,3 
402,Nəsimi r.,12000,1/2 ,40 ,2 
403,Gənclik m.,18000,5/5 ,120 ,4 
404,Şah İsmayıl Xətai m.,30000,,140 ,3 
405,Bakıxanov q.,3000,5/9 ,60 ,2 
406,Nəriman Nərimanov m.,18000,2/4 ,65 ,2 
407,Nəsimi r.,24000,6/17 ,200 ,4 
408,Nizami m.,15000,,45 ,
409,Şah İsmayıl Xətai m.,42000,11/19 ,100 ,2 
410,Nəsimi r.,75000,4/16 ,230 ,4 
411,Şah İsmayıl Xətai m.,45000,7/20 ,175 ,4 
412,28 May m.,13500,5/5 ,45 ,1 
413,Şah İsmayıl Xətai m.,22500,12/17 ,145 ,3 
414,Yasamal r.,36000,27/27 ,102.3 ,2 
415,Şah İsmayıl Xətai m.,21000,17/18 ,100 ,3 
416,Sahil m.,35,4/10 ,100 ,2 
417,Qara Qarayev m.,16500,5/16 ,60 ,2 
418,28 May m.,27000,10/10 ,120 ,3 
419,Nizami m.,90000,,300 ,
420,Elmlər Akademiyası m.,13500,5/5 ,70 ,3 
421,Nərimanov r.,18000,5/18 ,70 ,2 
422,Elmlər Akademiyası m.,27000,9/10 ,200 ,5 
423,İnşaatçılar m.,19500,15/16 ,80 ,3 
424,Nəsimi r.,40,12/19 ,95 ,2 
425,Nəsimi r.,50,16/17 ,180 ,3 
426,Yasamal q.,13500,3/12 ,66 ,2 
427,Nəsimi r.,37500,25/27 ,120 ,3 
428,Azadlıq Prospekti m.,19500,8/17 ,163 ,3 
429,İnşaatçılar m.,15000,20/24 ,90 ,2 
430,Nərimanov r.,51000,2/14 ,200 ,4 
431,Nəsimi r.,19500,22/22 ,70 ,2 
432,Nizami m.,51000,14/16 ,140 ,3 
433,28 May m.,30000,8/10 ,112 ,3 
434,Nəsimi r.,12000,3/4 ,65 ,2 
435,Nəriman Nərimanov m.,22500,,30 ,
436,28 May m.,24000,3/9 ,110 ,3 
437,Elmlər Akademiyası m.,30000,7/10 ,150 ,3 
438,Səbail r.,21000,4/16 ,70 ,2 
439,Həzi Aslanov m.,11400,16/17 ,65 ,2 
440,Nizami m.,40800,8/18 ,130 ,3 
441,28 May m.,21000,4/16 ,110 ,3 
442,28 May m.,30000,10/10 ,90 ,3 
443,İnşaatçılar m.,15000,11/16 ,60 ,2 
444,Nəsimi r.,36000,27/27 ,100 ,2 
445,İçəri Şəhər m.,25500,2/3 ,120 ,3 
446,Həzi Aslanov m.,13500,14/17 ,90 ,2 
447,Masazır q.,18000,,63 ,
448,Masazır q.,7500,3/3 ,40 ,1 
449,Nərimanov r.,22500,3/20 ,130 ,3 
450,Nəsimi r.,135000,,450 ,8 
451,İnşaatçılar m.,11100,3/20 ,57 ,2 
452,Bayıl q.,27000,4/5 ,130 ,4 
453,Sabunçu q.,18000,,210 ,4 
454,Xalqlar Dostluğu m.,150000,,125 ,
455,Neftçilər m.,14400,1/5 ,55 ,2 
456,28 May m.,13500,1/1 ,40 ,3 
457,Badamdar q.,105000,,500 ,6 
458,Nizami m.,13500,5/5 ,50 ,2 
459,28 May m.,30000,10/10 ,120 ,3 
460,Elmlər Akademiyası m.,30000,12/16 ,100 ,3 
461,Nərimanov r.,150000,,450 ,
462,28 May m.,27000,,45 ,2 
463,Xətai r.,19500,,130 ,4 
464,Nəsimi r.,36000,25/27 ,120 ,3 
465,Nizami m.,40200,8/14 ,130 ,3 
466,Nəsimi r.,66000,17/20 ,220 ,4 
467,Memar Əcəmi m.,10500,4/5 ,50 ,2 
468,Qəbələ,100,,200 ,5 
469,28 May m.,15600,5/11 ,45 ,2 
470,Memar Əcəmi m.,4500,4/5 ,55 ,1 
471,Nizami r.,11400,10/14 ,65 ,2 
472,Şah İsmayıl Xətai m.,24000,9/17 ,129 ,3 
473,Şah İsmayıl Xətai m.,19500,9/18 ,69 ,2 
474,8 Noyabr m.,22500,10/16 ,69 ,2 
475,28 May m.,50,2/17 ,160 ,3 
476,Nəsimi m.,45000,3/16 ,220 ,4 
477,Bayıl q.,27000,4/5 ,130 ,4 
478,Lənkəran,25,,130 ,4 
479,Elmlər Akademiyası m.,35,2/5 ,60 ,2 
480,Bilgəh q.,200,,420 ,
481,Elmlər Akademiyası m.,180000,,405 ,
482,Pirşağı q.,150,,200 ,
483,Yasamal r.,37500,25/27 ,140 ,3 
484,Xətai r.,30000,,1800 ,
485,Nəriman Nərimanov m.,27000,12/18 ,130 ,3 
486,Nərimanov r.,19500,11/18 ,110 ,3 
487,Sahil m.,30000,5/18 ,92 ,2 
488,28 May m.,36000,12/16 ,156 ,3 
489,Nəsimi r.,360000,,925 ,
490,Nəsimi r.,60000,16/22 ,160 ,4 
491,Badamdar q.,39000,11/20 ,153 ,3 
492,Nəsimi r.,51000,5/21 ,220 ,4 
493,28 May m.,45000,9/10 ,150 ,4 
494,Neftçilər m.,18000,6/16 ,120 ,2 
495,Gənclik m.,18000,7/9 ,85 ,3 
496,Şüvəlan q.,24000,,300 ,6 
497,Masazır q.,210000,,1015 ,
498,Elmlər Akademiyası m.,13500,1/5 ,50 ,2 
499,Masazır q.,9900,2/4 ,44 ,2 
500,Nəsimi r.,30000,7/18 ,100 ,2 
501,Xətai r.,22500,17/18 ,100 ,3 
502,Maştağa q.,300,,400 ,
503,Mərdəkan q.,300,,350 ,
504,Pirşağı q.,150,,30 ,
505,Mərdəkan q.,100,,220 ,
506,Buzovna q.,200,,310 ,
507,Novxanı q.,250,,140 ,
508,Xətai r.,50,8/18 ,100 ,2 
509,Zabrat q.,9000,,80 ,2 
510,Memar Əcəmi m.,3450,5/5 ,46 ,3 
511,Yasamal q.,105000,,177 ,
512,Zabrat q.,4500,2/2 ,55 ,1 
513,Nərimanov r.,30000,,100 ,
514,Qazax,4500,2/5 ,60 ,3 
515,Sabunçu r.,200,,40 ,1 
516,Yasamal r.,25500,4/18 ,91 ,3 
517,Sabunçu q.,22200,,95 ,
518,28 May m.,75000,9/20 ,210 ,4 
519,Azadlıq Prospekti m.,15000,,90 ,
520,Abşeron r.,12000,8/16 ,70 ,2 
521,Yasamal r.,39000,27/27 ,148 ,3 
522,Qusar,100,,211 ,5 
523,İçəri Şəhər m.,30000,3/6 ,100 ,3 
524,28 May m.,48000,,70 ,
525,Xırdalan,9000,5/5 ,45 ,2 
