,Locations,Prices,Floor,Area,Rooms,Rent
35104,Xalqlar Dostluğu m.,93000,5/5 ,80.0,3.0,0.0
35105,28 May m.,155000,4/5 ,80.0,3.0,0.0
35106,20 Yanvar m.,400000,15/17 ,190.0,4.0,0.0
35107,Mehdiabad q.,105000,1/2 ,116.0,5.0,0.0
35108,Nərimanov r.,180000,4/15 ,116.0,3.0,0.0
35109,Nəsimi r.,530000,17/20 ,190.0,4.0,0.0
35110,Nəsimi r.,400000,3/18 ,165.0,3.0,0.0
35111,Nəsimi r.,760000,15/15 ,420.0,5.0,0.0
35112,Nəsimi r.,123000,8/17 ,77.0,2.0,0.0
35113,Sabunçu r.,46000,,110.0,4.0,0.0
35114,Nizami m.,164900,3/3 ,100.0,3.0,0.0
35115,Əhmədli m.,135000,4/6 ,120.0,5.0,0.0
35116,Masazır q.,29000,,42.0,2.0,0.0
35117,Şah İsmayıl Xətai m.,400000,12/12 ,315.0,6.0,0.0
35118,Nərimanov r.,165000,9/16 ,95.0,2.0,0.0
35119,Memar Əcəmi m.,140000,15/18 ,103.0,2.0,0.0
35120,Qala q.,25000,,4.0,,0.0
35121,28 May m.,145000,4/5 ,70.0,3.0,0.0
35122,İçəri Şəhər m.,430000,2/3 ,180.0,4.0,0.0
35123,Xalqlar Dostluğu m.,85000,5/5 ,80.0,3.0,0.0
35124,Xırdalan,56000,4/9 ,55.0,2.0,0.0
35125,Buzovna q.,80000,,240.0,7.0,0.0
35126,Şah İsmayıl Xətai m.,325000,18/24 ,192.0,4.0,0.0
35127,Nəriman Nərimanov m.,135000,2/5 ,85.0,3.0,0.0
35128,Nərimanov r.,112000,4/16 ,55.0,2.0,0.0
35129,Əhmədli m.,95000,11/16 ,65.0,2.0,0.0
35130,Nərimanov r.,215000,13/16 ,80.0,3.0,0.0
35131,28 May m.,479000,7/14 ,178.0,4.0,0.0
35132,Fatmayı q.,395000,,800.0,8.0,0.0
35133,Masazır q.,17800,,34.0,1.0,0.0
35134,Qəbələ,38000,,87.0,,0.0
35135,Sabunçu r.,1300000,,100.0,,0.0
35136,Nərimanov r.,242000,10/13 ,130.0,3.0,0.0
35137,Savalan q.,2200,,8.0,,0.0
35138,Sahil q.,220000,,305.0,7.0,0.0
35139,Mingəçevir,19500,,110.0,3.0,0.0
35140,NZS q.,130000,,160.0,5.0,0.0
35141,Biləcəri q.,68000,,100.0,3.0,0.0
35142,Neftçilər m.,217000,14/19 ,140.0,5.0,0.0
35143,8 Noyabr m.,340000,9/21 ,270.0,5.0,0.0
35144,Nərimanov r.,180000,4/14 ,117.0,3.0,0.0
35145,Şah İsmayıl Xətai m.,142000,13/16 ,61.0,2.0,0.0
35146,Avtovağzal m.,60000,1/5 ,54.0,2.0,0.0
35147,Elmlər Akademiyası m.,303000,5/18 ,154.0,3.0,0.0
35148,Badamdar q.,500000,,32.0,,0.0
35149,Şah İsmayıl Xətai m.,179000,4/16 ,143.0,3.0,0.0
35150,Nərimanov r.,164000,13/17 ,80.0,2.0,0.0
35151,Neftçilər m.,94000,3/5 ,80.0,3.0,0.0
35152,İnşaatçılar m.,280000,3/17 ,150.0,3.0,0.0
35153,Binəqədi q.,52000,2/4 ,50.1,2.0,0.0
35154,Əhmədli m.,108000,2/9 ,104.0,4.0,0.0
35155,Nəsimi m.,63000,5/5 ,60.0,2.0,0.0
35156,28 May m.,515000,9/17 ,200.0,4.0,0.0
35157,Sahil m.,435000,3/4 ,110.0,3.0,0.0
35158,Mərdəkan q.,110000,,120.0,,0.0
35159,Həzi Aslanov m.,97000,2/17 ,81.0,3.0,0.0
35160,Səbail r.,250000,5/5 ,100.0,3.0,0.0
35161,Nizami r.,108000,17/19 ,135.0,3.0,0.0
35162,Yasamal q.,299000,3/18 ,187.2,3.0,0.0
35163,Elmlər Akademiyası m.,50000,2/5 ,25.0,1.0,0.0
35164,7-ci mikrorayon q.,70000,6/9 ,45.0,2.0,0.0
35165,Şah İsmayıl Xətai m.,157500,7/20 ,63.0,1.0,0.0
35166,İnşaatçılar m.,230000,5/18 ,165.0,4.0,0.0
35167,Mərdəkan q.,99000,,120.0,,0.0
35168,9-cu mikrorayon q.,97000,3/9 ,68.0,2.0,0.0
35169,Binəqədi r.,145000,8/9 ,72.0,3.0,0.0
35170,Yasamal r.,275000,23/27 ,148.0,4.0,0.0
35171,Mərdəkan q.,130000,,20.0,,0.0
35172,Mərdəkan q.,320000,,200.0,,0.0
35173,Nərimanov r.,139000,3/17 ,70.0,2.0,0.0
35174,Səbail r.,157000,2/2 ,65.0,2.0,0.0
35175,9-cu mikrorayon q.,140000,15/18 ,105.0,2.0,0.0
35176,Yasamal r.,159000,16/17 ,98.0,3.0,0.0
35177,Elmlər Akademiyası m.,190000,3/5 ,90.0,3.0,0.0
35178,Sabunçu r.,93500,8/15 ,74.8,2.0,0.0
35179,Binə q.,63000,,200.0,5.0,0.0
35180,Yasamal r.,412000,15/17 ,156.0,4.0,0.0
35181,Yeni Ramana q.,125000,,130.0,4.0,0.0
35182,Yasamal r.,365000,16/24 ,196.0,4.0,0.0
35183,İçəri Şəhər m.,260000,5/6 ,100.0,3.0,0.0
35184,Səbail r.,450000,3/12 ,226.0,4.0,0.0
35185,Nəriman Nərimanov m.,105000,11/16 ,72.7,1.0,0.0
35186,7-ci mikrorayon q.,95000,16/17 ,70.0,2.0,0.0
35187,Masazır q.,65000,2/6 ,75.0,3.0,0.0
35188,Nizami m.,160000,5/16 ,100.0,4.0,0.0
35189,Nərimanov r.,75000,,110.0,4.0,0.0
35190,Masazır q.,46000,,90.0,3.0,0.0
35191,Yasamal r.,137000,6/22 ,147.0,4.0,0.0
35192,Masazır q.,47000,1/6 ,51.0,2.0,0.0
35193,Masazır q.,57000,2/6 ,70.0,3.0,0.0
35194,Nəriman Nərimanov m.,5500000,,1500.0,,0.0
35195,Əhmədli q.,135000,3/17 ,116.5,3.0,0.0
35196,Elmlər Akademiyası m.,180000,2/5 ,110.0,3.0,0.0
35197,Sahil m.,260000,1/5 ,100.0,3.0,0.0
35198,Nəsimi r.,309000,14/19 ,205.0,4.0,0.0
35199,Memar Əcəmi m.,230000,10/11 ,114.0,3.0,0.0
35200,Xırdalan,122000,,200.0,5.0,0.0
35201,Nəsimi r.,152000,3/16 ,95.0,2.0,0.0
35202,Nəsimi r.,520000,,165.0,,0.0
35203,Elmlər Akademiyası m.,160000,1/9 ,85.0,3.0,0.0
35204,Xətai r.,310000,10/16 ,220.0,4.0,0.0
35205,İnşaatçılar m.,123000,3/5 ,70.0,3.0,0.0
35206,9-cu mikrorayon q.,88000,18/19 ,65.0,2.0,0.0
35207,Nərimanov r.,160000,4/16 ,75.0,3.0,0.0
35208,Nərimanov r.,160000,4/16 ,75.0,3.0,0.0
35209,Nizami r.,32000,1/1 ,29.0,1.0,0.0
35210,Masazır q.,80000,5/9 ,80.0,3.0,0.0
35211,Nəsimi r.,280000,18/19 ,94.0,2.0,0.0
35212,Neftçilər m.,150000,15/18 ,100.0,2.0,0.0
35213,Memar Əcəmi m.,230000,10/13 ,125.0,3.0,0.0
35214,Elmlər Akademiyası m.,303000,5/18 ,154.0,3.0,0.0
35215,Gədəbəy,160000,,380.0,6.0,0.0
35216,Həzi Aslanov m.,105000,5/12 ,65.0,2.0,0.0
35217,Xətai r.,486000,3/6 ,256.0,5.0,0.0
35218,Oğuz,30000,,140.0,3.0,0.0
35219,Memar Əcəmi m.,78000,3/5 ,50.0,2.0,0.0
35220,Yasamal r.,155000,15/27 ,103.0,2.0,0.0
35221,9-cu mikrorayon q.,69500,8/9 ,40.0,1.0,0.0
35222,28 May m.,152000,8/16 ,94.0,2.0,0.0
35223,Şah İsmayıl Xətai m.,340000,10/18 ,140.0,4.0,0.0
35224,Nizami m.,244600,12/20 ,153.0,3.0,0.0
35225,Gənclik m.,90000,1/4 ,45.0,2.0,0.0
35226,Qaraçuxur q.,117000,12/17 ,100.0,3.0,0.0
35227,Mərdəkan q.,950000,,18.0,,0.0
35228,Şah İsmayıl Xətai m.,128000,9/16 ,50.0,2.0,0.0
35229,Neftçilər m.,67000,5/5 ,45.0,2.0,0.0
35230,20 Yanvar m.,100000,13/18 ,67.0,1.0,0.0
35231,8 Noyabr m.,109000,5/16 ,75.0,2.0,0.0
35232,8 Noyabr m.,109000,5/16 ,75.0,2.0,0.0
35233,İnşaatçılar m.,275000,16/17 ,180.0,4.0,0.0
35234,Nərimanov r.,65000,17/17 ,32.0,1.0,0.0
35235,Mərdəkan q.,410000,,200.0,,0.0
35236,20-ci sahə q.,60000,,72.0,4.0,0.0
35237,Mərdəkan q.,370000,,220.0,,0.0
35238,Badamdar q.,590000,,540.0,1.0,0.0
35239,Nəriman Nərimanov m.,248000,,47.0,,0.0
35240,Mərdəkan q.,200000,,180.0,,0.0
35241,Şah İsmayıl Xətai m.,100000,13/20 ,65.2,2.0,0.0
35242,Yeni Yasamal q.,100000,5/11 ,57.0,2.0,0.0
35243,Nəsimi r.,1250000,4/25 ,176.0,3.0,0.0
35244,Əhmədli m.,85000,8/12 ,60.0,2.0,0.0
35245,Şüvəlan q.,200000,,165.0,,0.0
35246,Şüvəlan q.,1500000,,800.0,,0.0
35247,4-cü mikrorayon q.,84000,5/11 ,51.0,2.0,0.0
35248,Nərimanov r.,134000,8/16 ,68.0,2.0,0.0
35249,Yeni Yasamal q.,85000,6/12 ,52.0,2.0,0.0
35250,Əhmədli m.,81000,8/9 ,70.0,2.0,0.0
35251,Nəriman Nərimanov m.,194000,6/17 ,177.0,3.0,0.0
35252,Yasamal q.,157000,13/19 ,75.0,2.0,0.0
35253,Şah İsmayıl Xətai m.,400000,8/16 ,171.0,4.0,0.0
35254,Elmlər Akademiyası m.,50000,2/5 ,25.0,1.0,0.0
35255,Qaraçuxur q.,90440,2/5 ,106.4,3.0,0.0
35256,Qaraçuxur q.,90440,2/5 ,106.4,3.0,0.0
35257,Həzi Aslanov m.,88000,3/16 ,88.0,2.0,0.0
35258,Nizami r.,1200000,,800.0,,0.0
35259,Qara Qarayev m.,178000,19/20 ,114.0,3.0,0.0
35260,Xətai r.,395000,3/16 ,175.0,4.0,0.0
35261,Mərdəkan q.,3000000,,200.0,,0.0
35262,Nərimanov r.,92000,13/16 ,53.0,2.0,0.0
35263,20 Yanvar m.,195000,4/17 ,155.0,4.0,0.0
35264,Şah İsmayıl Xətai m.,125000,7/16 ,56.0,2.0,0.0
35265,İnşaatçılar m.,155000,5/19 ,124.1,3.0,0.0
35266,Nərimanov r.,3400000,,500.0,,0.0
35267,Neftçilər m.,10000,,20.0,,0.0
35268,Memar Əcəmi m.,100000,3/5 ,66.0,3.0,0.0
35269,Nizami m.,155000,,100.0,4.0,0.0
35270,Yeni Yasamal q.,85000,9/12 ,60.0,2.0,0.0
35271,Mərdəkan q.,310000,,180.0,,0.0
35272,Mərdəkan q.,175000,,115.0,,0.0
35273,Yeni Yasamal q.,73000,17/17 ,70.0,3.0,0.0
35274,Qara Qarayev m.,75000,10/12 ,52.0,1.0,0.0
35275,Nərimanov r.,193000,8/16 ,107.1,3.0,0.0
35276,Şah İsmayıl Xətai m.,302400,8/20 ,189.0,4.0,0.0
35277,İnşaatçılar m.,246000,10/17 ,165.0,3.0,0.0
35278,Nərimanov r.,375000,4/16 ,170.0,4.0,0.0
35279,Yasamal r.,135000,3/9 ,70.0,3.0,0.0
35280,Nərimanov r.,2000000,,900.0,,0.0
35281,Nəriman Nərimanov m.,290000,10/16 ,175.0,3.0,0.0
35282,Nardaran q.,93000,,220.0,5.0,0.0
35283,İnşaatçılar m.,115000,8/9 ,90.0,3.0,0.0
35284,Həzi Aslanov m.,78000,6/9 ,46.0,2.0,0.0
35285,Qala q.,45000,,12.0,,0.0
35286,Bakıxanov q.,55000,,430.0,,0.0
35287,Yasamal r.,189000,11/27 ,146.0,3.0,0.0
35288,Masazır q.,48000,8/8 ,67.0,3.0,0.0
35289,Nizami m.,130000,4/5 ,78.0,3.0,0.0
35290,İçəri Şəhər m.,345600,5/14 ,144.0,4.0,0.0
35291,İçəri Şəhər m.,144000,1/4 ,60.0,2.0,0.0
35292,Nəsimi r.,395000,12/18 ,207.0,4.0,0.0
35293,Qara Qarayev m.,59500,2/5 ,32.0,1.0,0.0
35294,Xətai r.,264000,3/7 ,127.0,3.0,0.0
35295,Gənclik m.,146000,9/16 ,110.0,2.0,0.0
35296,Həzi Aslanov m.,88000,3/16 ,69.0,2.0,0.0
35297,28 May m.,300000,13/17 ,138.0,3.0,0.0
35298,Mərdəkan q.,110000,,120.0,,0.0
35299,Nəsimi r.,349000,6/19 ,145.0,3.0,0.0
35300,Abşeron r.,65000,4/9 ,70.0,2.0,0.0
35301,Mərdəkan q.,145000,,135.0,,0.0
35302,Memar Əcəmi m.,90000,2/5 ,50.0,2.0,0.0
35303,Memar Əcəmi m.,152000,4/5 ,110.0,4.0,0.0
35304,Yeni Yasamal q.,62500,4/9 ,45.0,2.0,0.0
35305,Əhmədli m.,126000,7/9 ,70.0,3.0,0.0
35306,İnşaatçılar m.,61000,5/5 ,35.0,1.0,0.0
35307,Gəncə,55000,3/5 ,86.0,3.0,0.0
35308,Şah İsmayıl Xətai m.,335340,2/8 ,186.3,4.0,0.0
35309,Həzi Aslanov q.,122000,14/19 ,87.0,2.0,0.0
35310,İnşaatçılar m.,120000,16/19 ,56.0,2.0,0.0
35311,Xətai r.,8100000,,30.0,,0.0
35312,Memar Əcəmi m.,70000,4/5 ,45.0,2.0,0.0
35313,Mərdəkan q.,220000,,170.0,,0.0
35314,Binə q.,180000,,110.7,8.0,0.0
35315,Əhmədli q.,106000,8/9 ,80.0,4.0,0.0
35316,Nərimanov r.,127000,2/15 ,67.0,2.0,0.0
35317,Mərdəkan q.,220000,,160.0,,0.0
35318,Nərimanov r.,123000,4/10 ,73.2,1.0,0.0
35319,Yeni Yasamal q.,112000,5/9 ,80.0,3.0,0.0
35320,Qara Qarayev m.,106000,6/9 ,84.0,3.0,0.0
35321,Masazır q.,44000,1/6 ,44.0,2.0,0.0
35322,Masazır q.,68000,,80.0,3.0,0.0
35323,Neftçilər m.,82000,3/5 ,50.0,3.0,0.0
35324,Nəriman Nərimanov m.,225000,10/16 ,124.0,3.0,0.0
35325,Gənclik m.,500000,11/12 ,220.0,4.0,0.0
35326,Nərimanov r.,250000,6/17 ,128.0,3.0,0.0
35327,Nəriman Nərimanov m.,145000,5/5 ,80.0,3.0,0.0
35328,Əhmədli q.,125000,3/20 ,128.0,3.0,0.0
35329,Mərdəkan q.,220000,,160.0,,0.0
35330,Şah İsmayıl Xətai m.,600000,,211.0,,0.0
35331,Neftçilər m.,240000,,120.0,,0.0
35332,İnşaatçılar m.,138000,13/16 ,70.0,2.0,0.0
35333,Əhmədli q.,90000,1/20 ,100.0,2.0,0.0
35334,Həzi Aslanov m.,115430,13/17 ,119.0,3.0,0.0
35335,Nəsimi r.,800000,,270.0,,0.0
35336,Saray q.,107000,,330.0,9.0,0.0
35337,Xalqlar Dostluğu m.,57500,3/5 ,33.0,2.0,0.0
35338,Yeni Yasamal q.,130000,6/17 ,120.0,3.0,0.0
35339,Gəncə,800000,,1546.0,,0.0
35340,Memar Əcəmi m.,61000,3/5 ,45.0,2.0,0.0
35341,Nəriman Nərimanov m.,245000,9/16 ,137.0,3.0,0.0
35342,28 May m.,355000,10/16 ,230.0,4.0,0.0
35343,İçəri Şəhər m.,124900,8/9 ,78.0,3.0,0.0
35344,Əhmədli m.,178000,10/14 ,118.0,3.0,0.0
35345,Əhmədli m.,83000,3/9 ,48.0,2.0,0.0
35346,Mərdəkan q.,350000,,26.0,,0.0
35347,Bilgəh q.,47000,,12.0,,0.0
35348,Qara Qarayev m.,163000,5/9 ,90.0,4.0,0.0
35349,Nərimanov r.,185000,9/9 ,135.0,4.0,0.0
35350,28 May m.,285000,8/14 ,170.0,3.0,0.0
35351,Binəqədi r.,123500,12/17 ,80.0,2.0,0.0
35352,Əhmədli m.,170000,7/16 ,130.0,3.0,0.0
35353,Şah İsmayıl Xətai m.,360000,,72.0,,0.0
35354,Həzi Aslanov m.,80000,5/5 ,85.0,3.0,0.0
35355,Nizami m.,245000,,43.7,,0.0
35356,Nəriman Nərimanov m.,215000,6/17 ,91.0,2.0,0.0
35357,Yeni Yasamal q.,110000,17/19 ,80.0,2.0,0.0
35358,Mərdəkan q.,490000,,250.0,6.0,0.0
35359,Nərimanov r.,255000,16/21 ,135.0,4.0,0.0
35360,Həzi Aslanov m.,69000,8/9 ,60.0,2.0,0.0
35361,Şah İsmayıl Xətai m.,104000,,80.0,,0.0
35362,Şah İsmayıl Xətai m.,261000,17/20 ,160.0,3.0,0.0
35363,Şah İsmayıl Xətai m.,125000,7/18 ,55.0,2.0,0.0
35364,Elmlər Akademiyası m.,360000,6/16 ,140.0,3.0,0.0
35365,28 May m.,290000,5/16 ,123.0,3.0,0.0
35366,Nəriman Nərimanov m.,215000,10/17 ,116.0,3.0,0.0
35367,Memar Əcəmi m.,86500,4/5 ,62.0,2.0,0.0
35368,Mərdəkan q.,320000,,200.0,,0.0
35369,Şüvəlan q.,280000,,170.0,,0.0
35370,Bahar q.,90000,,136.0,4.0,0.0
35371,Nəriman Nərimanov m.,760000,,260.0,,0.0
35372,Xaçmaz,1200000,,450.0,7.0,0.0
35373,Əhmədli m.,2000000,,800.0,,0.0
35374,Nəsimi m.,45000,7/9 ,51.0,1.0,0.0
35375,Şah İsmayıl Xətai m.,405000,14/19 ,162.0,4.0,0.0
35376,Şah İsmayıl Xətai m.,405000,14/19 ,162.0,4.0,0.0
35377,Yeni Yasamal q.,125000,6/9 ,90.0,3.0,0.0
35378,Nəsimi r.,168000,10/12 ,112.0,3.0,0.0
35379,İçəri Şəhər m.,320000,11/15 ,105.0,2.0,0.0
35380,Həzi Aslanov m.,105000,6/17 ,75.0,3.0,0.0
35381,Həzi Aslanov q.,108000,2/20 ,66.7,2.0,0.0
35382,Yeni Yasamal q.,160000,12/18 ,109.0,3.0,0.0
35383,28 May m.,425000,14/20 ,190.0,4.0,0.0
35384,Nizami m.,37000,1/1 ,27.0,2.0,0.0
35385,Nizami m.,85000,5/5 ,45.5,2.0,0.0
35386,İçəri Şəhər m.,900000,7/12 ,210.0,4.0,0.0
35387,Savalan q.,200000,,350.0,5.0,0.0
35388,Abşeron r.,3200000,,91.5,,0.0
35389,Memar Əcəmi m.,1200000,,930.0,,0.0
35390,Əhmədli m.,155000,5/16 ,104.0,3.0,0.0
35391,Sumqayıt,65000,1/5 ,77.0,3.0,0.0
35392,Binəqədi r.,135000,13/20 ,96.0,2.0,0.0
35393,Nəriman Nərimanov m.,250000,15/17 ,150.0,3.0,0.0
35394,Novxanı q.,165000,,120.0,,0.0
35395,Nərimanov r.,158000,14/14 ,135.0,3.0,0.0
35396,Elmlər Akademiyası m.,122000,2/5 ,60.0,2.0,0.0
35397,Xətai r.,392450,6/20 ,167.0,3.0,0.0
35398,Nərimanov r.,126000,8/17 ,56.0,2.0,0.0
35399,Badamdar q.,1200000,,55.0,,0.0
35400,İnşaatçılar m.,85000,1/5 ,60.0,2.0,0.0
35401,Yeni Yasamal q.,128500,7/10 ,98.0,3.0,0.0
35402,Qəbələ,42000,,12.0,,0.0
35403,9-cu mikrorayon q.,112500,2/9 ,90.0,4.0,0.0
35404,9-cu mikrorayon q.,105000,18/18 ,75.0,2.0,0.0
35405,Yeni Yasamal q.,135000,12/14 ,100.0,3.0,0.0
35406,28 May m.,228000,10/16 ,153.0,3.0,0.0
35407,Nəsimi r.,165000,7/16 ,98.0,2.0,0.0
35408,9-cu mikrorayon q.,130000,9/16 ,93.0,2.0,0.0
35409,Abşeron r.,240000,,10800.0,,0.0
35410,Nəriman Nərimanov m.,155000,3/5 ,111.0,3.0,0.0
35411,Xaçmaz,80000,,600.0,2.0,0.0
35412,Şüvəlan q.,650000,,600.0,6.0,0.0
35413,Biləcəri q.,95000,,200.0,6.0,0.0
35414,Xırdalan,210000,,230.0,5.0,0.0
35415,28 May m.,280000,2/4 ,156.0,4.0,0.0
35416,Həzi Aslanov q.,70000,14/14 ,70.0,2.0,0.0
35417,Yasamal q.,108000,6/16 ,60.0,2.0,0.0
35418,Yasamal r.,138000,7/18 ,86.0,2.0,0.0
35419,Mərdəkan q.,145000,,150.0,,0.0
35420,Nardaran q.,150000,,580.0,,0.0
35421,Mərdəkan q.,135000,,150.0,,0.0
35422,Nərimanov r.,82500,2/5 ,45.0,2.0,0.0
35423,İnşaatçılar m.,228000,7/16 ,170.0,3.0,0.0
35424,İnşaatçılar m.,228000,7/16 ,170.0,3.0,0.0
35425,Bərdə,85000,,330.0,6.0,0.0
35426,İnşaatçılar m.,52500,1/1 ,40.0,3.0,0.0
35427,Sahil m.,95000,3/3 ,35.0,2.0,0.0
35428,Memar Əcəmi m.,87000,2/5 ,60.0,2.0,0.0
35429,Nərimanov r.,600000,,3.0,,0.0
35430,Sahil m.,350000,5/5 ,330.0,5.0,0.0
35431,Nəsimi r.,395000,3/12 ,220.0,4.0,0.0
35432,Şəmkir,900000,,500.0,,0.0
35433,Neftçilər m.,87000,8/9 ,60.0,2.0,0.0
35434,Həzi Aslanov m.,104000,16/19 ,64.0,2.0,0.0
35435,Maştağa q.,65000,,300.0,5.0,0.0
35436,Mərdəkan q.,99000,,120.0,,0.0
35437,Şah İsmayıl Xətai m.,150000,17/19 ,91.0,2.0,0.0
35438,8-ci kilometr q.,150000,12/14 ,105.0,3.0,0.0
35439,Bakıxanov q.,87000,16/19 ,82.0,3.0,0.0
35440,Xalqlar Dostluğu m.,77000,3/9 ,90.0,3.0,0.0
35441,Nəsimi r.,95000,4/4 ,40.0,2.0,0.0
35442,İçəri Şəhər m.,105000,3/12 ,47.0,2.0,0.0
35443,Memar Əcəmi m.,72000,5/5 ,48.0,2.0,0.0
35444,Nəriman Nərimanov m.,240000,11/18 ,129.0,3.0,0.0
35445,Həzi Aslanov m.,180000,,170.0,,0.0
35446,Abşeron r.,2500000,,393.0,,0.0
35447,Əhmədli q.,155000,,115.0,4.0,0.0
35448,Əhmədli q.,155000,,115.0,4.0,0.0
35449,28 May m.,140000,14/16 ,78.0,1.0,0.0
35450,İçəri Şəhər m.,499000,8/14 ,205.0,4.0,0.0
35451,Memar Əcəmi m.,80000,4/5 ,50.0,2.0,0.0
35452,Həzi Aslanov q.,209000,7/19 ,138.0,4.0,0.0
35453,İçəri Şəhər m.,245000,4/6 ,100.0,3.0,0.0
35454,Binəqədi r.,214000,12/16 ,146.0,3.0,0.0
35455,Elmlər Akademiyası m.,299000,15/20 ,175.0,4.0,0.0
35456,Nəsimi r.,245000,2/16 ,142.0,3.0,0.0
35457,Yeni Yasamal q.,73000,7/9 ,65.0,2.0,0.0
35458,Yeni Ramana q.,80000,,6.4,,0.0
35459,Bilgəh q.,900000,,175.0,,0.0
35460,Gənclik m.,398000,9/11 ,143.0,4.0,0.0
35461,Nərimanov r.,270000,16/20 ,170.0,4.0,0.0
35462,Nəsimi r.,158000,8/15 ,61.0,2.0,0.0
35463,Xətai r.,76000,3/5 ,72.0,3.0,0.0
35464,Buzovna q.,40000,,100.0,3.0,0.0
35465,İçəri Şəhər m.,115000,3/16 ,45.0,2.0,0.0
35466,Məmmədli q.,15800,,2.5,,0.0
35467,Şah İsmayıl Xətai m.,234000,9/24 ,156.0,3.0,0.0
35468,Xətai r.,113000,11/17 ,119.0,3.0,0.0
35469,Elmlər Akademiyası m.,115000,2/5 ,48.0,2.0,0.0
35470,Azadlıq Prospekti m.,245000,11/16 ,201.0,5.0,0.0
35471,Məmmədli q.,55000,,110.0,3.0,0.0
35472,Sabunçu q.,69000,,75.0,3.0,0.0
35473,Gənclik m.,2500000,,500.0,,0.0
35474,Əhmədli m.,235000,,100.0,3.0,0.0
35475,Neftçilər m.,34000,2/5 ,18.0,1.0,0.0
35476,Əhmədli m.,355000,,105.0,,0.0
35477,Yeni Yasamal q.,156000,3/18 ,145.0,3.0,0.0
35478,Nərimanov r.,325000,7/14 ,200.0,4.0,0.0
35479,Xırdalan,78000,8/15 ,87.0,3.0,0.0
35480,Yeni Ramana q.,108000,,300.0,6.0,0.0
35481,Nizami m.,650000,,200.0,,0.0
35482,9-cu mikrorayon q.,122000,5/9 ,72.0,3.0,0.0
35483,Nəriman Nərimanov m.,430000,11/17 ,197.0,5.0,0.0
35484,8 Noyabr m.,108000,4/12 ,55.0,2.0,0.0
35485,Nəsimi r.,200000,10/18 ,125.0,3.0,0.0
35486,Bakıxanov q.,97000,8/9 ,75.0,3.0,0.0
35487,Yasamal r.,146000,3/6 ,76.0,3.0,0.0
35488,Nardaran q.,2300000,,240.0,,0.0
35489,Yeni Yasamal q.,92000,11/11 ,98.0,3.0,0.0
35490,Xalqlar Dostluğu m.,87000,2/9 ,65.0,3.0,0.0
35491,Gənclik m.,433000,15/18 ,228.0,5.0,0.0
35492,Nizami m.,357000,18/22 ,204.0,4.0,0.0
35493,Quba,780000,,70.0,,0.0
35494,Əhmədli m.,235000,,10.0,,0.0
35495,Şah İsmayıl Xətai m.,295000,6/14 ,170.0,4.0,0.0
35496,Həzi Aslanov m.,125000,3/16 ,110.0,4.0,0.0
35497,Kürdəxanı q.,85000,,28000.0,,0.0
35498,İnşaatçılar m.,115000,5/5 ,85.0,3.0,0.0
35499,Yeni Yasamal q.,103000,6/18 ,72.0,3.0,0.0
35500,Nəriman Nərimanov m.,150000,6/10 ,98.0,3.0,0.0
35501,Yasamal q.,199000,5/17 ,135.0,3.0,0.0
35502,Yasamal r.,285000,4/17 ,139.0,4.0,0.0
35503,Bilgəh q.,3000000,,5000.0,,0.0
35504,Nəsimi r.,158000,8/15 ,61.0,2.0,0.0
35505,28 May m.,1350000,8/16 ,370.0,6.0,0.0
35506,Nərimanov r.,290000,4/12 ,170.0,3.0,0.0
35507,Qala q.,100000,,190.0,,0.0
35508,İnşaatçılar m.,85000,3/12 ,58.0,2.0,0.0
35509,Şah İsmayıl Xətai m.,510000,10/28 ,196.0,3.0,0.0
35510,Sahil m.,110000,4/4 ,61.3,2.0,0.0
35511,Sahil m.,315000,4/12 ,165.0,4.0,0.0
35512,Qara Qarayev m.,116000,7/16 ,94.0,2.0,0.0
35513,Həzi Aslanov m.,186000,4/18 ,129.0,3.0,0.0
35514,İnşaatçılar m.,85000,9/12 ,60.0,2.0,0.0
35515,Yasamal q.,120000,15/18 ,68.0,2.0,0.0
35516,Nərimanov r.,138000,5/12 ,89.0,2.0,0.0
35517,Masazır q.,230000,,450.0,5.0,0.0
35518,Nərimanov r.,137000,6/15 ,75.0,3.0,0.0
35519,28 May m.,185000,3/17 ,78.0,2.0,0.0
35520,Nərimanov r.,295000,16/17 ,188.0,4.0,0.0
35521,20 Yanvar m.,121900,7/13 ,55.0,2.0,0.0
35522,Nəsimi r.,292000,5/17 ,195.0,4.0,0.0
35523,İnşaatçılar m.,265000,15/16 ,220.0,4.0,0.0
35524,Mərdəkan q.,280000,,14.0,,0.0
35525,Şah İsmayıl Xətai m.,156000,9/24 ,104.0,2.0,0.0
35526,İnşaatçılar m.,121000,16/17 ,96.0,2.0,0.0
35527,Nərimanov r.,126000,7/16 ,90.0,2.0,0.0
35528,Bilgəh q.,105000,,210.0,,0.0
35529,Mərdəkan q.,145000,,120.0,,0.0
35530,Nizami m.,232900,6/10 ,137.0,4.0,0.0
35531,Mərdəkan q.,150000,,15.0,,0.0
35532,Xətai r.,145000,11/20 ,63.0,2.0,0.0
35533,Nərimanov r.,180000,5/19 ,130.0,3.0,0.0
35534,Hökməli q.,150000,,312.0,7.0,0.0
35535,Xırdalan,71000,16/17 ,63.0,2.0,0.0
35536,Bakıxanov q.,57500,12/20 ,50.0,2.0,0.0
35537,Nizami m.,280000,10/17 ,140.0,3.0,0.0
