,Locations,Prices,Floor,Area,Rooms,Rent
342,Elmlər Akademiyası m.,15000,5/5 ,80 ,3 ,1.0
343,Həzi Aslanov m.,30000,15/17 ,160 ,4 ,1.0
344,Nəsimi r.,18000,5/5 ,60 ,3 ,1.0
345,M.Ə.Rəsulzadə q.,7500,,50 ,2 ,1.0
346,Qara Qarayev m.,18000,6/16 ,120 ,2 ,1.0
347,İnşaatçılar m.,18000,14/16 ,80 ,3 ,1.0
348,Xırdalan,6000,,20 ,,1.0
349,7-ci mikrorayon q.,18000,13/16 ,95 ,2 ,1.0
350,Nizami m.,37500,,115 ,2 ,1.0
351,Nəriman Nərimanov m.,22500,18/21 ,90 ,2 ,1.0
352,Nəsimi r.,36000,17/27 ,103 ,2 ,1.0
353,Şah İsmayıl Xətai m.,39000,7/18 ,170 ,3 ,1.0
354,İçəri Şəhər m.,90000,,320 ,1 ,1.0
355,Şah İsmayıl Xətai m.,30000,,140 ,3 ,1.0
356,Bayıl q.,45000,,700 ,,1.0
357,İçəri Şəhər m.,25500,2/3 ,110 ,3 ,1.0
358,Nizami m.,40500,,150 ,7 ,1.0
359,Nəriman Nərimanov m.,19500,8/18 ,92 ,2 ,1.0
360,Həzi Aslanov q.,60000,,337 ,,1.0
361,Elmlər Akademiyası m.,180000,,120 ,,1.0
362,Elmlər Akademiyası m.,240000,,500 ,,1.0
363,28 May m.,15000,3/3 ,55 ,2 ,1.0
364,Yasamal r.,21000,4/16 ,80 ,2 ,1.0
365,Nəsimi r.,15000,3/3 ,55 ,2 ,1.0
366,Nəriman Nərimanov m.,21000,12/19 ,140 ,3 ,1.0
367,Binəqədi r.,12600,4/16 ,45 ,1 ,1.0
368,28 May m.,90000,,150 ,5 ,1.0
369,Nəsimi r.,40,5/19 ,95 ,2 ,1.0
370,Novxanı q.,135000,,800 ,,1.0
371,Nəsimi r.,19500,7/16 ,145 ,3 ,1.0
372,Yeni Yasamal q.,9900,7/9 ,45 ,1 ,1.0
373,Gənclik m.,60000,,50 ,,1.0
